I work in:,I enjoy working:,"In a group setting, I am confident mediating when different members of the group have conflicting interests.",I enjoy presenting my results to others.,I am best at: ,"In a group setting, I tend to explain something by:","For a final assignment, I would rather:","I express my ideas and creativity through making content in the form of writing, videos, visual arts, music, or similar channels.","When using a product or service, I think about how I might change the process to make the experience easier or more enjoyable.","When I work towards a solution, I focus more on:",I am comfortable showing my work in early stages.,I enjoy solving open-ended questions with no clear answers.,"When Iâ€™m working on a project, I tend to think that things will generally go smoothly.",I enjoy having a set schedule.,Constant meetings throughout the day are a dealbreaker to me.,"In a group setting, I tend to focus less on managing others and more on performing well in my own role.",I am more anxious about:
Computer Science Academia,4,2,5,4,3,4,3,4,5,5,4,2,5,3,4,2
Computer Science Academia,3,2,4,5,3,4,1,4,1,5,5,2,4,2,2,2
Quantitative Finance,4,4,5,4,2,4,3,4,2,4,4,2,3,4,3,4
Startups,3,4,4,3,4,2,2,5,4,4,5,4,3,2,2,4
UI/UX,3,5,5,4,3,1,5,5,3,2,5,3,3,1,4,4
Computer Science Academia,1,3,4,4,3,2,4,4,2,2,4,4,3,4,4,2
Product,3,3,5,2,2,1,4,4,2,4,2,4,4,2,2,2
UI/UX,3,4,5,5,1,1,2,4,1,3,1,4,5,4,2,1
UI/UX,4,3,3,5,4,3,2,4,3,4,3,3,4,3,3,3
Computer Science Academia,5,5,5,3,3,1,3,5,3,3,4,3,3,3,2,3
Startups,1,4,2,2,5,5,1,2,5,1,5,2,4,5,4,4
UI/UX,2,4,4,2,2,1,3,5,2,4,3,2,1,4,5,2
UI/UX,2,4,4,2,1,2,3,1,3,5,4,1,2,3,4,1
Startups,2,2,2,3,5,2,4,4,4,2,2,4,5,5,4,2
Startups,1,5,5,2,3,4,5,5,5,5,4,3,5,1,2,5
Quantitative Finance,3,5,5,5,3,1,3,4,1,2,4,2,5,4,3,1
UI/UX,4,5,5,3,3,1,3,5,2,4,2,4,5,2,2,2
UI/UX,2,5,5,4,4,1,5,5,2,2,4,2,4,2,3,4
Computer Science Academia,3,2,5,5,2,2,3,3,4,5,5,5,3,1,5,1
Quantitative Finance,4,4,4,1,3,4,2,3,5,5,5,5,5,1,1,1
Computer Science Academia,3,2,1,2,4,1,4,2,4,3,5,1,2,1,3,1
UI/UX,4,4,3,2,3,1,5,5,3,2,3,2,4,4,1,2
UI/UX,3,4,2,4,1,5,4,4,5,1,1,4,4,3,4,1
Product,4,4,5,4,2,1,4,4,3,2,4,4,5,1,2,2
UI/UX,2,3,4,4,1,1,5,5,2,2,4,1,4,5,5,5
UI/UX,3,2,4,2,2,1,5,5,2,3,3,3,4,3,4,4
Product,5,5,5,2,4,4,4,5,1,5,5,4,5,4,2,5
Product,5,4,5,1,5,1,5,5,3,2,5,1,1,1,1,5
Product,3,5,5,1,2,1,5,4,1,5,4,1,3,3,2,3
Quantitative Finance,2,2,4,4,5,5,1,4,5,4,5,3,4,4,5,2
UI/UX,4,2,2,4,3,1,2,5,2,5,3,3,5,3,5,1
UI/UX,3,4,4,4,3,1,4,4,4,2,2,4,4,5,5,1
Startups,3,4,4,2,2,5,4,5,2,5,4,3,4,2,3,5
Product,4,3,4,2,3,1,5,3,4,3,4,3,4,4,4,1
Product,2,4,2,5,1,2,5,5,1,5,1,5,5,2,1,5
Quantitative Finance,3,4,2,4,4,1,3,4,4,2,2,4,2,1,4,5
Product,2,2,2,4,2,1,3,4,4,2,3,3,2,5,5,1
Startups,5,4,5,1,1,1,5,5,3,5,5,1,3,5,1,1
Quantitative Finance,1,4,5,2,5,1,3,3,4,5,4,2,1,5,4,5
Product,4,4,4,3,2,2,3,4,2,4,4,4,3,2,2,4
Startups,3,4,5,4,3,1,5,4,3,3,4,4,5,4,5,4
Startups,3,4,3,2,3,1,2,4,2,2,5,4,2,3,3,1
Product,2,4,5,1,2,1,5,5,2,5,5,1,1,2,3,3
UI/UX,3,3,3,4,4,1,3,4,3,2,3,3,3,3,3,3
Quantitative Finance,3,5,5,4,4,5,3,5,2,5,2,3,4,3,2,5
Startups,3,4,5,2,3,1,5,5,2,5,5,1,2,5,3,5
Product,4,4,4,1,3,1,2,5,3,2,4,3,4,2,2,2
Startups,5,5,5,2,3,2,3,5,3,5,5,2,1,1,1,5
Startups,3,5,5,2,3,3,3,4,4,5,5,4,4,1,3,5
Startups,2,2,4,2,4,5,4,5,5,5,5,5,4,4,3,5
Product,4,3,3,3,5,5,5,5,3,4,4,3,3,3,1,5
Product,4,5,5,3,2,1,5,5,2,5,4,4,3,2,4,4
Quantitative Finance,5,5,5,3,3,1,1,5,4,5,5,2,4,2,2,4
Quantitative Finance,3,5,4,5,5,1,3,5,5,4,4,4,4,5,4,2
Quantitative Finance,4,4,5,3,1,1,4,5,3,5,5,5,5,4,5,5
Product,4,5,5,2,3,2,5,4,2,5,5,2,3,4,2,5
Quantitative Finance,1,3,5,4,2,2,4,4,3,3,5,4,4,4,3,4
Quantitative Finance,4,5,4,4,4,1,1,4,2,4,5,4,4,2,2,2
Quantitative Finance,2,4,5,2,3,2,4,4,4,5,3,2,1,2,4,1
Computer Science Academia,3,5,4,2,4,1,5,4,2,3,5,4,1,2,1,4
Product,3,5,5,3,3,1,1,5,3,5,5,4,3,3,5,5
Product,3,4,4,2,1,2,2,5,4,3,2,3,2,4,4,5
Product,4,5,4,2,3,1,5,5,2,5,5,3,1,4,2,4
Product,5,5,5,5,5,1,4,5,4,5,5,5,5,3,4,2
Computer Science Academia,3,4,4,1,2,1,1,4,4,5,5,4,5,5,5,2
Product,5,5,4,1,1,1,5,5,1,3,3,5,5,1,1,5
UI/UX,2,4,5,3,2,1,5,3,3,4,4,4,4,3,4,1
Computer Science Academia,2,4,3,4,3,1,5,5,2,3,5,4,2,4,5,2
Product,3,5,5,2,2,2,5,5,2,4,5,5,2,3,1,4
Computer Science Academia,2,3,4,2,2,1,5,4,3,2,4,2,2,5,5,4
Product,4,4,2,3,4,2,2,5,1,3,5,1,4,1,1,4
Computer Science Academia,3,4,5,4,4,1,2,5,2,4,5,1,2,5,5,3
Computer Science Academia,2,3,4,3,1,1,4,4,1,4,4,4,1,4,4,3
Computer Science Academia,4,4,5,2,1,1,4,5,2,3,3,4,5,5,4,3
Computer Science Academia,4,4,3,5,2,1,4,5,4,3,2,2,3,2,4,2
Computer Science Academia,2,5,5,2,1,1,5,5,1,1,4,2,5,1,1,5
UI/UX,3,2,4,2,3,1,1,4,2,5,5,3,2,4,3,1
Product,3,4,3,4,2,1,4,4,4,2,3,3,2,3,4,2
Computer Science Academia,5,3,2,4,1,2,5,4,3,2,2,1,5,1,2,1
Computer Science Academia,3,4,3,1,2,1,4,5,1,4,5,4,2,5,3,5
Computer Science Academia,4,4,4,2,3,1,1,4,3,3,5,2,4,4,2,1
Startups,3,4,4,3,1,1,5,5,3,3,3,1,3,5,4,2
Product,2,5,5,3,3,5,2,5,4,5,5,5,4,1,1,3
Startups,2,5,3,3,4,1,2,4,3,3,5,1,4,4,4,3
Product,3,5,5,3,2,1,5,5,3,5,5,2,4,3,1,5
Computer Science Academia,4,5,4,5,5,2,4,5,1,4,5,5,1,3,1,5
Product,4,4,4,3,2,2,4,4,3,4,3,3,4,3,3,4
Startups,4,5,5,3,4,1,4,4,4,2,5,5,5,4,3,5
UI/UX,2,3,3,3,2,1,5,5,1,4,5,2,4,4,4,5
Product,4,4,4,2,2,1,5,5,3,2,3,2,3,2,3,2